Office Type,Name,State_abbrev,State_num,Congressional_District,Total_Population,Race_White,Race_Black,Race_AmerInd,Race_Asian,Race_PacIsl,Race_Other,Race_TwoOrMore,Agg_Household_Income,Inc_Pov_Ratio_below_50,Inc_Pov_Ratio_50_74,Inc_Pov_Ratio_75_99,Inc_Pov_Ratio_100_124,Inc_Pov_Ratio_125_149,Inc_Pov_Ratio_150_174,Inc_Pov_Ratio_175_184,Inc_Pov_Ratio_185_199,Inc_Pov_Ratio_200_299,Inc_Pov_Ratio_300_399,Inc_Pov_Ratio_400_499,Inc_Pov_Ratio_above_500,Age_18_19,Age_20,Age_21,Age_22_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_61,Age_62_64,Age_65_66,Age_67_69,Age_70_74,Age_75_79,Age_80_84,Age_85_over,lean_magnitude,lean_party,battleground,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?
Representative,California,CA,6,21,713625,510358,30157,7915,28192,1368,114712,20923,11112664600,59488,46664,61865,58955,46708,42875,27166,30059,128810,72165,32763,66594,21249,13287,12206,35552,53657,56003,53087,47687,41764,36237,35798,11290,16386,10198,11647,15868,9638,9932,7331,10.07,D,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,22,771095,523341,26578,9579,62678,729,109998,38192,21043269600,56893,29017,40135,42811,46315,36442,14719,18053,120477,94059,77266,185955,22140,10693,12334,29732,59163,55522,51237,42811,44525,44228,39285,16313,22658,13347,19448,26251,15237,11284,13776,15.3,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,23,747852,558772,44943,7917,38586,1575,62353,33706,19441273200,65680,34025,36729,37404,33752,35470,14627,22624,125758,87079,67084,169149,18387,7688,9266,28238,61156,49887,49785,43989,43516,43630,47950,17656,26141,15491,16857,25307,16592,12855,11477,27.1,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,24,738707,605269,14494,8054,35385,735,42148,32622,26785340900,47192,17879,24539,28670,23503,31815,15870,19763,109847,81998,66563,234279,36079,17218,18825,42593,49485,44106,43328,39366,39961,39814,44830,18113,27330,16636,23562,33711,22313,15021,16220,13.17,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Representative,California,CA,6,25,716257,453617,52356,4779,61896,1139,104617,37853,23369102000,49734,13838,26686,23953,29215,23091,9399,12401,106066,93377,74038,243429,18282,9974,8403,27899,46881,43108,45028,44141,49914,49656,52047,19388,23671,14765,20777,22472,18301,8674,8800,0.1,R,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,26,728927,590235,14078,4552,49488,1406,36272,32896,25304276100,28649,15865,20220,38487,27985,40664,9202,19630,106222,97018,68445,244276,19580,11452,8262,29738,51299,47674,46324,44720,46330,46769,51664,18786,24919,16647,20277,26739,18375,13206,16413,14.07,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Representative,California,CA,6,28,709450,489020,15673,3765,92452,489,76475,31576,32573386800,34241,20950,32587,29784,29053,28818,8845,13082,91763,82401,65111,267709,10625,7038,5740,25992,63999,69135,56762,47282,55790,52718,50770,18989,24947,12642,19967,27392,19984,15072,15679,43.83,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,29,707741,389138,27739,4958,56157,1385,208277,20087,15364500500,40979,23787,48590,39541,46354,47259,22474,24453,122130,101519,68941,116402,19275,10518,10053,32934,59897,57295,52867,45330,46695,48051,45147,14425,22580,12168,17003,18925,12851,12511,8910,55.47,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,3,748104,512748,42954,8233,87457,7200,40541,48971,22311095800,53683,20697,26205,27456,30397,27215,10503,22330,126719,101218,71887,208292,27178,18074,11143,34393,55319,52050,47413,40213,42406,44400,43813,21162,26167,15787,19935,27609,19532,11025,13330,8.17,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Representative,California,CA,6,30,766513,475246,38904,3759,105314,533,104928,37829,32325138800,33488,15181,25361,26875,25846,29765,11103,15987,95207,99170,79545,301022,17399,9632,10214,32354,61030,54490,57340,51323,54340,51237,55023,18438,25750,16524,21982,28704,20434,13596,17881,36.03,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,31,751527,472619,76166,3930,54119,4024,101105,39564,19164834600,56113,22915,30195,39413,32596,38200,19378,20834,122180,95594,67426,184450,22020,9423,12042,34614,61204,56618,54487,42586,45882,42864,46504,15882,21147,13071,19900,22005,14113,10096,9201,15.63,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,33,704818,506075,29120,2800,99123,630,22895,44175,52126306300,32010,8317,12268,13535,10766,15546,2929,10736,55003,53460,53766,415237,22211,10535,7760,21318,51167,49884,48002,44069,47694,46135,46086,18428,25994,14475,22235,35841,22082,15955,21452,31.5,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,34,748812,259995,44238,9874,151348,1538,256530,25289,18337779500,56654,33334,59961,46586,56992,44010,18358,28579,131125,85304,43430,124405,16535,9044,8785,34882,84200,77755,59703,53354,46700,43365,41779,19669,20705,13682,16717,21939,14587,12093,14830,67.6,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,35,769589,341427,42948,7224,57508,791,285674,34017,15853738700,44645,21469,38468,37373,42544,34565,18838,32111,166330,120655,79562,117797,25844,14699,11981,41304,68172,55961,53390,53809,50705,47301,40384,14961,18189,14699,14516,17238,12196,8470,7379,35.5,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,36,752138,500142,34742,7241,31560,1644,153319,23490,21659595800,47915,19669,48241,45156,36134,37332,17297,23283,137122,94813,67770,166359,16156,8182,9421,23203,45735,46915,44808,41881,49485,47219,50439,19667,31333,19891,33265,42936,33663,20800,21007,2.97,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Representative,California,CA,6,38,716331,292100,26545,5145,122674,3907,242005,23955,18736063100,28208,17007,20924,33340,30905,28273,16291,21181,124298,113217,81734,192139,17759,11080,9123,28048,60311,50295,48765,41714,46074,47812,47385,17337,23927,15030,17423,25158,19185,14328,16426,33.07,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,39,726541,366507,19667,5376,238123,919,64951,30998,26127333300,33782,10999,17262,23720,31275,25291,6369,17718,94500,92916,75381,290733,16256,9884,8444,33994,57833,49436,43631,44995,49069,47406,49746,19629,26064,15894,20302,30668,16945,13713,14340,0.53,D,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
Representative,California,CA,6,4,754525,636599,10014,4749,43292,1624,21489,36758,29495936400,30436,10686,24440,18485,21973,22040,9045,17126,104334,103387,74867,305599,15440,6555,8064,22895,42499,40533,48818,43978,48195,49162,55763,22924,34740,20560,30852,43792,27982,18149,18546,19.9,R,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,41,775626,388905,69240,4023,52523,1350,226903,32682,15837713100,41830,29719,37673,41093,44819,35624,23942,29220,145744,121357,64520,140045,29009,14564,14484,41675,67733,60820,50500,46403,47358,44679,42964,13737,20613,11409,14360,19411,12812,6713,8830,23.03,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,42,826801,529560,51664,5827,72564,2543,122252,42391,24918761400,35851,18707,19367,27341,21385,42634,12254,17564,128810,125843,99272,269610,22487,11286,11067,28650,57884,53207,57562,57794,50940,53601,52046,16881,22626,12451,18272,23443,20271,13187,11886,17,R,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,43,753696,307860,160048,4743,104116,2583,143823,30523,21347288800,47094,28674,30875,35731,39477,34876,20965,22266,130583,105102,62541,187182,19817,9505,10954,31531,62887,56091,53489,51122,50569,48017,48960,17856,23511,13596,18053,23507,15985,9146,12257,56.5,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,44,725177,320876,111873,4247,36898,7805,223763,19715,13494673600,55218,35504,45474,49976,41415,50324,18984,25078,143038,106335,51462,94817,19600,11309,10897,28019,59725,57039,54559,46327,44791,40498,37827,17484,20122,11882,14983,18844,11680,8231,9704,66.87,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,45,797608,495939,12515,2200,203292,1134,42404,40124,39273084600,43410,9798,11955,16327,14278,25287,6790,11109,77810,71659,89315,409365,24126,12103,12061,28463,55061,49416,52005,53056,57025,55619,58667,21393,24332,15234,23279,31584,22023,13178,17525,4.3,R,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,46,735139,420031,16625,4291,87238,906,188633,17415,16146338800,46952,27439,36755,40986,35461,47860,17398,18411,142447,102404,60225,142137,23013,12072,12080,36226,68485,61453,57097,42207,47168,43923,41335,16853,17963,11986,13236,18943,11600,8573,10252,30.03,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,47,710853,363923,54180,4766,164178,5794,86152,31860,22955126000,46274,18849,26071,34927,31487,34492,10386,18879,104047,84560,72641,221064,15910,10040,10477,29937,60589,53453,52858,44414,50083,51802,47026,19980,25570,12282,18943,21224,15781,10900,12125,24.6,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,48,719486,459456,12424,2217,146976,2095,63570,32748,35712644600,31250,13857,18711,17301,20442,27778,6724,12215,78325,83889,68711,336337,16008,9375,6921,25594,52778,44958,44528,46738,51928,57169,52937,22703,25149,14381,20279,35469,23599,15454,18592,6.73,R,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,49,731513,572343,21682,3291,58447,2834,34788,38128,33797871500,33409,9265,15402,26047,23232,23559,5405,14152,89073,77986,74130,320692,18838,10419,10327,27455,50156,43030,50139,42143,49134,48270,50674,22240,24569,15838,21352,31515,23243,15028,15853,1.13,R,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Representative,California,CA,6,50,751551,600933,17983,8873,37033,4939,44964,36826,24259065300,35552,17307,22745,32952,32098,34720,14743,17877,111952,98437,76896,248537,20710,10068,10891,27451,53711,47937,53786,45427,45002,49466,50213,20056,27624,16650,19845,27474,20014,13725,14500,21.57,R,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,51,747510,503283,51898,4579,59053,3125,99723,25849,12805590800,53035,33257,55597,42768,48940,44862,15632,25511,142314,104851,63326,85329,22295,12400,12789,34566,66979,60192,47772,44435,46605,43552,42922,15581,20202,13166,16155,21289,14366,12053,11343,42.2,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,52,767172,505924,27211,3142,153271,2180,28270,47174,38066794700,39093,10322,14050,16095,12384,21460,8582,15274,79862,73754,71885,379258,20012,9960,12085,33990,67468,65466,59517,48016,49427,47714,47366,16181,26526,16499,20444,29408,19670,13210,13389,13.17,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,53,796701,513966,63941,2703,114377,4094,47671,49949,26878809800,48748,17465,23201,35142,23972,26586,9107,17244,115735,110762,88309,269639,20617,11506,11777,42023,76299,72383,61179,52982,51445,44188,42425,17929,27569,14731,20762,24242,14334,12862,12539,27.63,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,7,753640,474784,55737,6801,120343,6811,32841,56323,26824793200,40190,21832,27032,23029,23094,32166,10694,16354,94804,99036,82054,274433,17314,7901,9126,27753,51167,47895,57957,44428,48760,50417,52807,18774,29888,16422,22160,31595,20237,14982,14795,4.97,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Representative,California,CA,6,8,717107,535884,61955,12982,23511,2262,47100,33413,16986552900,53556,30965,43023,44337,36509,34925,13813,18756,122855,99402,60530,141353,17774,11436,8555,27220,50312,46959,44216,43882,42288,43909,43478,22878,24084,11552,18158,27498,18578,10711,10476,18.67,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,9,775148,439731,69964,5821,116574,3279,55875,83904,21594585100,42847,27287,34551,43695,31245,34167,14742,26238,126980,97733,89541,192334,22592,11546,10323,31156,49606,50571,50220,48502,50803,46960,45167,18611,25641,14805,18781,27329,19691,11288,11330,14.33,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Representative,Colorado,CO,8,1,841497,658995,65739,7236,29889,1253,46922,31463,36858581200,41178,21871,26577,26756,33180,33929,14431,25550,109520,106311,88873,300177,16827,8756,7346,33718,96897,91490,73045,57658,53949,45504,46567,18966,24958,14205,21456,26806,16722,10369,11436,40.37,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,Colorado,CO,8,2,812357,733767,7708,3519,25225,265,13391,28482,34993708100,41659,17431,14919,21032,18271,26889,10310,13274,94183,101582,89140,341452,30835,15274,15134,41425,60596,57829,52464,50433,55406,46376,52115,23386,31863,20480,22215,36001,20696,11086,11611,16.77,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,Colorado,CO,8,3,753595,675510,7103,17765,6997,160,30019,16041,21488043300,47491,22290,30568,32021,27748,41806,17142,24523,139792,108836,77159,169431,24083,9657,9429,25483,46621,47409,48140,44326,44193,43961,53466,21771,32079,21696,26043,37372,25307,16099,13669,13.56,R,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,Colorado,CO,8,4,836061,749846,13167,5711,20314,1339,16855,28829,30921488400,33859,17853,18664,26971,25764,26563,8793,20329,123248,118251,96861,300519,22539,9693,8191,28945,54478,57343,59102,53811,57129,53114,53813,23454,29981,17849,24947,29237,18605,13217,12948,25.39,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,Colorado,CO,8,5,815466,661068,48818,6866,21569,2631,26409,48105,25724589700,31449,24718,22214,27925,27296,35688,14630,20395,144235,119124,87072,228749,22276,10359,12420,38620,66005,59684,52645,50766,49025,49153,52595,21377,27580,18388,22800,31511,18056,11765,12793,26.49,R,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,Colorado,CO,8,6,835273,614542,81416,7607,51858,1486,38133,40231,32057869400,26483,10946,19052,20088,28115,27967,13540,24117,121766,113038,97468,326017,18551,8768,5978,34516,59257,61302,57642,65911,61658,53752,52745,20377,27554,15150,23124,26120,15530,10406,10852,4.07,D,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
